un,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
218,400,Jarrett Jack,PG,33,16.5,1,1.5,0.667,0,0.5,0,1,1,1,0.667,1,1,1,0,0,0,2.5,1,0,1.5,2,3,NO,2,16.5,-1.85,0.01,-1.84,0.03,5.1,97.67,1,0.06,245.5,11.5,7
219,405,Andrew Bogut,C,32,21.6,1.4,3,0.469,0,0,0,1.4,3,0.475,0.469,0.1,0.4,0.273,2.1,6,8.1,1.8,0.5,0.9,1.6,3.2,2.9,CLE/DAL,27,21.6,-4.01,4.34,0.33,1.2,9.2,93.14,8,0.24,1435.5,57,4
220,408,Fred VanVleet,PG,22,7.9,1.1,3,0.351,0.3,0.8,0.379,0.8,2.2,0.341,0.401,0.5,0.6,0.818,0.1,1,1.1,0.9,0.4,0.1,0.4,1,2.9,TOR,37,7.9,-2.44,0.83,-1.61,0.28,7.8,97.63,25,1.31,116.5,0,17.5
221,415,Kyle Singler,SF,28,12,1.1,2.6,0.41,0.2,1.2,0.189,0.8,1.4,0.587,0.452,0.4,0.5,0.765,0.3,1.3,1.5,0.3,0.2,0.2,0.3,0.9,2.8,OKC,32,12,-3.25,0.9,-2.35,0.19,4.6,99.19,15,4.84,354,9,6
222,418,Omer Asik,C,30,15.5,1,2.1,0.477,0,0,,1,2.1,0.477,0.477,0.7,1.3,0.59,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7,NO,31,15.5,-2.97,1.94,-1.03,0.65,7.3,99.64,12,9.9,8,,
223,422,Tomas Satoransky,SG,25,12.6,1.1,2.6,0.415,0.2,0.6,0.243,0.9,1.9,0.473,0.446,0.4,0.6,0.697,0.4,1,1.5,1.6,0.5,0.1,0.7,1.1,2.7,WSH,57,12.6,-2.1,1.08,-1.02,0.93,6.4,95.69,33,2.87,4,7,8.5
224,425,Andrew Nicholson,PF,27,9,1.1,2.9,0.387,0.1,0.7,0.185,1,2.2,0.452,0.41,0.2,0.4,0.643,0.4,1.2,1.6,0.3,0.4,0.2,0.4,1.4,2.6,BKN/WSH,38,9,-3.54,-0.67,-4.21,-0.23,3.1,97.45,20,6.09,3,5,5
225,428,DeAndre Liggins,SG,28,12.5,0.9,2.3,0.387,0.3,0.7,0.37,0.6,1.5,0.396,0.447,0.4,0.6,0.625,0.3,1.4,1.7,0.9,0.8,0.2,0.7,1.3,2.5,CLE/DAL,62,12.5,-3.13,0.76,-2.37,0.37,4.6,97.12,40,1.58,150.5,2,2
226,431,Miles Plumlee,C,28,10.8,1,2,0.478,0,0,,1,2,0.478,0.478,0.6,0.9,0.641,0.8,1.3,2.1,0.5,0.4,0.3,0.7,1.6,2.5,MIL/CHA,45,10.8,-2.79,0.52,-2.27,0.25,4,95.64,19,12.5,362,11,3
227,432,Mike Scott,PF,28,10.8,0.9,3.3,0.288,0.2,1.5,0.148,0.7,1.8,0.406,0.322,0.4,0.4,0.875,0.6,1.5,2.1,0.9,0.2,0.2,0.4,0.7,2.5,ATL,18,10.8,-2.92,0.26,-2.66,0.06,5.8,97.93,7,3.33,7,2,1
228,435,Greivis Vasquez,PG,30,13,0.7,2.7,0.25,0.3,1,0.333,0.3,1.7,0.2,0.313,0.7,1,0.667,0,0.7,0.7,1.7,0.3,0.3,0.3,2,2.3,BKN,3,13,-1.77,-0.38,-2.15,0.03,0.9,102.41,1,4.35,39,10,8.5
229,437,James Young,SG,21,7.6,0.9,2,0.431,0.4,1.2,0.343,0.4,0.8,0.565,0.534,0.2,0.3,0.667,0.2,0.7,0.9,0.1,0.3,0.1,0.1,0.5,2.3,BOS,29,7.6,-1.88,-0.28,-2.16,0.14,6.4,100.01,16,1.83,12,0,12
230,442,Rakeem Christmas,PF,25,7.6,0.7,1.5,0.442,0,0,,0.7,1.5,0.442,0.442,0.7,1,0.724,0.9,1,1.9,0.1,0.1,0.2,0.3,1.3,2,IND,29,7.6,-2.2,0.5,-1.7,0.2,4.9,98.43,14,1.47,185,13,3
231,446,Udonis Haslem,C,36,8.1,0.7,1.4,0.478,0,0.2,0,0.7,1.3,0.55,0.478,0.6,0.9,0.6,0.5,1.8,2.3,0.4,0.4,0.1,0.5,1.4,1.9,MIA,16,8.1,-2.79,0.73,-2.06,0.09,7.3,98.53,6,4,401,28.5,18
232,452,Lamar Patterson,SG,25,8,0.6,3,0.2,0.2,1.2,0.167,0.4,1.8,0.222,0.233,0.4,0.6,0.667,0.2,1.2,1.4,1.2,0.2,0,0.8,1.2,1.8,ATL,5,8,-2.23,0.62,-1.61,0.03,-0.4,93.96,1,0.25,82,4,4
233,454,Cole Aldrich,C,28,8.6,0.7,1.4,0.523,0,0,,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,MIN,62,8.6,-1.82,1.83,0.01,1.04,7.6,97.42,23,7.64,220.5,22,9
234,455,Nick Collison,PF,36,6.4,0.7,1.2,0.609,0,0.1,0,0.7,1.1,0.636,0.609,0.3,0.4,0.625,0.5,1.1,1.6,0.6,0.1,0.1,0.2,0.9,1.7,OKC,20,6.4,-2.18,1.12,-1.06,0.17,12,97.52,10,3.75,283.5,10,12
235,457,Bruno Caboclo,SF,21,4.4,0.7,1.8,0.375,0.2,0.7,0.333,0.4,1.1,0.4,0.438,0,0,,0.6,0.6,1.1,0.4,0.2,0.1,0.2,0.4,1.6,TOR,9,4.4,-1.76,0.11,-1.65,0.04,9.4,95.38,8,1.59,270.5,11,8
236,459,Ryan Kelly,PF,25,6.9,0.5,1.8,0.286,0.3,0.6,0.4,0.3,1.1,0.222,0.357,0.3,0.4,0.833,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,1.6,ATL,16,6.9,-1.94,1.45,-0.49,0.08,7.3,96.26,6,1.58,23,17,10
